design_no,laminate_code,page_no,assigned_value,finish_name,laminate
1395 (3),KP,56,13952,,verticalwood
1531,KP,56,1531,,verticalwood
1532,KP,56,1532,,verticalwood
1547,KP,56,1547,,verticalwood
1638,KP,56,1638,,verticalwood
1639,KP,56,1639,,verticalwood
1640,KP,56,1640,,verticalwood
1661,LG,45,1661,,verticalwood
1662,LG,45,1662,,verticalwood
1663,LG,45,1663,,verticalwood
1664,LG,45,1664,,verticalwood
466 (2),LM,76,4662,,stone
525 (2),LM,76,5252,,stone
526 (2),LM,76,5262,,stone
527 (2),LM,76,5272,,stone
537,LM,76,537,,
1426,LN,37,1426,,fabric
1427,LN,37,1427,,fabric
1560,LN,38,1560,,fabric
1561,LN,38,1561,,fabric
1562,LN,38,1562,,fabric
1102,LS,25,1102,,solidcolor
1104 (4),LS,25,11043,,solidcolor
1105 (2),LS,25,11052,,solidcolor
1111 (2),LS,25,11112,,solidcolor
1112 (7),LS,25,11124,,solidcolor
1119 (2),LS,25,11192,,solidcolor
1120 (2),LS,25,11202,,solidcolor
1129 (3),LS,25,11293,,solidcolor
1413,LS,52,1413,,verticalwood exoticwood
1414,LS,52,1414,,verticalwood exoticwood
1436,LS,52,1436,,verticalwood solidcolor
1437,LS,52,1437,,verticalwood
1438,LS,52,1438,,verticalwood
1467,LS,52,1467,,verticalwood
1336,MF,52,1336,,verticalwood
1394,MF,56,1394,,verticalwood
1395 (3),MF,52,13951,,verticalwood
1447,MF,32,1447,,stone
1449,MF,32,1449,,stone
1458,MK,53,1458,matt,horizontalwood
1459,MK,53,1459,matt,horizontalwood
1703,MM,50,1703,,verticalwood
1704,MM,50,1704,,verticalwood
1705,MM,50,1705,,verticalwood
1706,MM,50,1706,,verticalwood
1707,MM,50,1707,,verticalwood
1708,MM,50,1708,,verticalwood
1717,MM,42,1717,,verticalwood
1718,MM,42,1718,,verticalwood
1719,MM,42,1719,,verticalwood
1720,MM,42,1720,,verticalwood
1656,MP,46,1656,,verticalwood
1657,MP,46,1657,,verticalwood
1658,MP,46,1658,,verticalwood
1659,MP,46,1659,,verticalwood
1104 (4),MQ,59,11044,,solidcolor vibrant
1112 (7),MQ,59,11127,,vibrant
1380,MQ,59,1380,,
1395 (3),MQ,59,13953,,vibrant
1587,MR,35,1587,matt,stone vibrant
1588,MR,35,1588,matt,stone vibrant
1589,MR,35,1589,matt,stone vibrant
1628 (2),MR,35,16281,matt,stone vibrant
955,MS,63,955,,verticalwood exoticwood
956,MS,63,956,,verticalwood exoticwood
957,MS,63,957,,verticalwood exoticwood
548,MT,76,548,,stone
549,MT,76,549,,stone
550,MT,76,550,,
1538,MT,32,1538,matt,stone
1660,MT,32,1660,matt,stone
1734,MT,32,1734,,
1735,MT,32,1735,,
1736,MT,32,1736,,
1737,MT,32,1737,,
436,MV,67,436,,verticalwood
437,MV,67,437,,verticalwood
440 (3),MV,67,4401,,verticalwood
485 (2),MV,67,4851,,verticalwood
533 (2),MV,67,5331,matt,verticalwood exoticwood
254,MW,62,254,,verticalwood
255,MW,62,255,,verticalwood
256,MW,62,256,,verticalwood
257,MW,62,257,,verticalwood
964,NC,62,964,,verticalwood
965,NC,62,965,,verticalwood
966,NC,62,966,,verticalwood
8001 (2),NM,26,80012,matt,solidcolor
8002 (2),NM,26,80022,matt,
8003,NM,26,8003,matt,solidcolor
8006,NM,26,8006,matt,solidcolor
8007 (2),NM,26,80071,matt,solidcolor
